smiles,TotalEnergy
COc1ccc(CCC(=O)N2CCOC[C@]3(C2)CN(C(=O)C(O)O)CCO3)cn1,-109.2212
Cc1cc2nnc(C(=O)N3C[C@@H]4COC[C@H](C3)[C@@H]4NC(=O)CNC(N)=O)c(C)n2n1,-118.4534
O=C([C@H](O)c1ccco1)N1CCO[C@@]2(CCN(C(=O)[C@@H](O)N3CCOCC3)C2)C1,-110.9366
CN(CC(=O)N1CC2(CCCN2C(=O)c2cccnc2C(N)=O)C1)C(=O)C(=O)O,-115.5013
CC(C)NS(=O)(=O)NCCNC(=O)c1ccc(S(=O)(=O)N(C)CCO)cc1,-103.6412
Cn1cnc(C(=O)N2CCOC[C@@]3(CN(C(=O)C[C@@H]4NC(=O)NC4=O)CCO3)C2)c1,-125.3591
CCN1C=CN=C1C(=O)NC[C@H]2CC[C@H](O2)C3=NC=NN3,-99.9995
C[C@H](CC=1C=CC=2OC(C)CC2C1)NC(=O)CC3CNC4(CCC4)CO3,-104.8659
CCCCN(CC1=NN=C(CC)N1C)C2CC(C)(C)NC(C)(C)C2,-98.2265
C#CCNC(=O)CN1CCCN(C(=O)CN(C)S(=O)(=O)c2cccnc2)CC1,-91.3944
C[C@]1(C2CC2)NC(=O)N(CC(=O)N2CCN([C@@H]3CS(=O)(=O)C[C@@H]3O)CC2)C1=O,-111.1723
NS(=O)(=O)c1ccc(CNC(=S)N2CCN(C(=O)Cn3cnnn3)CC2)cc1,-142.1704
CN1C(=O)C[C@H](C(=O)N[C@H]2CC(=O)N(CCN3CCOCC3)C2)[C@@H]1c1ccnn1C,-108.78
O=C(CNCP(=O)(O)O)N1CC[C@H]2[C@@H]1CCN2C(=O)Cn1cc([N+](=O)[O-])cn1,-125.12
CC1CN(C(=O)CC2=CNC=3N=CC=CC23)C=4C=CC=CC4O1,-104.7664
CN(C)CCN(C)CCCNc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,-115.684
O=C1C[C@H](C(=O)N2CCOC[C@@]3(CN(C(=O)c4c[nH]c(=O)cn4)CCO3)C2)CN1,-103.8985
CCNC(=O)NC(=O)[C@H](C)N1CCN([C@H](C)C(=O)NC(=O)NCC)C[C@@H](O)C1,-90.9983
CC=1N=CC(Cl)=CC1CC(=O)NC=2C=CC3=NC=NN3C2,-104.0058
CNC(=O)CC(=O)N1CC[C@H](CNC(=O)CN(CCO)CCO)[C@@H]1c1cccnc1,-107.3972
