SMILES,TotalEnergy
O=C(Cc1cccnc1)N[C@@H]1[C@H]2COC[C@@H]1CN(C(=O)CN1C(=O)CNC1=O)C2,-120.21
CNC(=O)C=1C=CC=C(C1)NC(=O)C(N)CC=2C=CC=CC2,-108.649
CN(C)C(=O)Cn1nc2n(c1=O)CCN(C(=O)N[C@H]1CCC(=O)N[C@H]1C1CC1)C2,-123.9023
CN(C)S(=O)(=O)c1cc(C(=O)N2CCN(C(=O)C(=O)NC3CC3)CC2)n(C)c1,-134.1757
CS(=O)(=O)NC[C@@H]1CCCN(C(=O)[C@H]2CC(=O)N(CCN3CCOCC3)C2)C1,-106.5291
CC[C@H](C)[C@H](N)C(=O)N1CC[C@H]2CO[C@@H](CNC(=O)CN(CCO)CCO)[C@H]2C1,-118.7872
CN(C)c1ccncc1C(=O)N1CCO[C@@]2(COCCN(C(=O)CNC(=N)N)C2)C1,-112.5259
"O=C(N[C@@H]1CC(CN2C=CC=N2)C[C@H]1O)C3=CC=C(O3)C4=CC=CO4 |&1:3,13,r|",-124.04
NS(=O)(=O)[C@H]1CCN(C(=O)C(=O)NC[C@@]2(N3CCOCC3)CCSC2)C1,-121.3643
COC=1C=CC(=CC1F)C(C)NC(=O)N2CCCCCC2C=3C=CN=CC3,-116.3931
O=C(C1=CSC(=N1)C=2C=CSC2)N(CC=3C=CC(F)=CC3)C4CC4,-114.7002
O=C1CN(C(=O)CN2CC3(C[C@H](NC(=O)[C@@H]4C[C@@H]5O[C@H]4[C@H]4C[C@@H]54)CO3)C2)CCN1,-119.0944
CN1C(=O)C(=O)N(CC(=O)N[C@@H]2CN(C(=O)[C@@H]3C[C@@H]4O[C@H]3[C@H]3C[C@@H]43)C[C@H]2O)C1=O,-124.5388
Cn1nc(CC(=O)OCC(=O)c2c(N)n(C)c(=O)n(C)c2=O)c2ccccc2c1=O,-138.2628
O=C1C[C@@]2(CCOC2)CN1CN1CCN(S(=O)(=O)[C@@H]2CCS(=O)(=O)C2)CC1,-97.265
NC(=O)CNC(=O)c1cc(S(=O)(=O)N2CCOCC2)ccc1N1CCOCC1,-131.7365
C[C@@](O)(CC(=O)O)CC(=O)N1CCO[C@@]2(CCN(C(=O)CCS(C)(=O)=O)C2)C1,-117.3196
O=C(COC(=O)[C@H]1CNC(=O)N1)Nc1ccc(S(=O)(=O)N2CCOCC2)cc1,-130.409
CN[C@H](CC(=O)N[C@@H]1[C@H]2COC[C@@H]1CN(C(=O)C(C)(C)NCCC#N)C2)C(=O)O,-130.259
C[C@@H](C(=O)NC[C@@H]1OC[C@@H]2CCN(C(=O)CN(CCO)CCO)C[C@@H]21)n1ccnc1,-147.9156
Cc1cc(CC(=O)N2CCO[C@]3(COCCN(C(=O)C(=O)N(C)C)C3)C2)nn1C,-103.1874
Cn1nccc1C(=O)N1CCOC[C@@]2(CN(C(=O)CS(C)(=O)=O)CCO2)C1,-127.0853
COc1cc(C(=O)NS(=O)(=O)N2CCOCC2)cc(OC)c1OCC(N)=O,-125.111
CC(=O)c1cc(C(=O)N2CCO[C@]3(COCCN(C(=O)Cn4cncn4)C3)C2)n[nH]1,-130.3574
CC=1NN=C(C1C(=O)NCCC2=COC(=N2)C=3C=CC(C)=CC3)C(F)(F)F,-125.3558
COC=1C=CC(=CC1)CC2(C)NC(=O)N(CC(=O)N3CCNCC3)C2=O,-125.2676
O=C(CC=1C=CC=2OCCOC2C1)N3CCOC(C3)C=4N=CON4,-117.1432
Cn1nc(C(=O)N2CC[C@H]3CO[C@@H](CNC(=O)[C@@H](N)CCC(N)=O)[C@H]3C2)cc1O,-122.7506
C[C@H](NC=O)C(=O)N1CCOC[C@]2(CN(C(=O)c3cc4n(n3)CCCO4)CCO2)C1,-122.04
C[C@@H](NC(=O)CN1CCN(S(=O)(=O)[C@H]2CCS(=O)(=O)C2)CC1)C(=O)N(C)C,-115.5481
CS(=O)(=O)N1CCN(C(=O)C(=O)NCc2ccc(N3CCOCC3)nc2)CC1,-113.7985
CCOC(=O)N[C@H](O)C(=O)NC[C@@H]1OC[C@@H]2CCN(C(=O)[C@@H]3C[C@H](O)CN3)C[C@@H]21,-128.5955
COC=1C=CC(OC)=C(C1)C2CCCN2C(=O)CCC3=NC(=NO3)C4=NN=CN4,-134.1892
O=C(c1cc2n(n1)CCCO2)N1CC2(CCCN2C(=O)CN(CCO)CCO)C1,-122.1872
O=S(=O)(NCCN1CCOCC1)C=2C=CC(Br)=CC2,-95.9702
CN1CCN(S(=O)(=O)N2CCN(C(=O)NC[C@H]3CC[C@@H](C(N)=O)O3)CC2)CC1,-109.8661
CN1CCCC[C@@H]1C(=O)N1CCOC[C@]2(CN(C(=O)Cn3cnnn3)CCO2)C1,-108.2507
CN(C)S(=O)(=O)N1CCCN(C(=O)[C@@H]2CC[C@H](C(=O)N3CCOCC3)O2)CC1,-106.0061
OC[C@@H]1COCCN1C=2C=C(N=CN2)C=3C=CC=C(Cl)C3,-121.3617
C[C@H](Cn1cccn1)C(=O)N1C[C@@H]2COC[C@H](C1)[C@@H]2NC(=O)CN1CCNC1=N,-115.4834
COC1=CNN=C1C2=NC(=NN2CC=3C=CC(F)=C(F)C3)C4CCOC4,-122.755
CCS(=O)(=O)N[C@@H](C)C(=O)N1CC[C@H]2[C@@H]1CCN2C(=O)[C@@H](COC)NC(C)=O,-110.6267
CCNC(=O)N[C@@H](C)C(=O)N1CCOC[C@]2(CN(C(=O)C3CN(C)C3)CCO2)C1,-102.247
CNC(=O)[C@@H]1CN(c2nnc([C@H](C)NS(C)(=O)=O)n2CC2(O)CCC2)CCO1,-123.0588
CN1CCN(S(=O)(=O)c2ccc(N3CCN4C(=O)C(=O)NC[C@H]4C3)nc2)CC1,-105.5058
FC=1C=CC=C2N=C(SC12)N3CCC(CC3)NC4CCOCC4,-105.1337
N#CC1(C(=O)N2CCOC[C@@]3(CN(C(=O)CN4C(=O)C=CC4=O)CCO3)C2)CC1,-119.944
C[C@@H](Oc1cccnc1)C(=O)N1CCOC[C@]2(CN(C(=O)CNC(=N)N)CCO2)C1,-138.7292
CO[C@@H](C)Cn1c([C@H]2CN(S(C)(=O)=O)CCO2)nnc1N1CCN(C)C(=O)C1,-123.1392
COC=1N=CC(=CN1)C(=O)NC2(CC2)C3CCN(CC3)C(=O)CCCC(C)C,-106.8029
CC(=O)N1CCN(C(=O)COC(=O)c2cc3c(=O)n(C)c(=O)n(C)c3n2C)CC1,-124.0612
CCn1nccc1C(=O)N[C@@H]1[C@H]2COC[C@@H]1CN(C(=O)CNCP(=O)(O)O)C2,-120.875
O=C(CN1CCOCC1)N1CCO[C@]2(CCN(C(=O)CN3C(=O)C=CC3=O)C2)C1,-115.2423
CCOC(=O)C1=C(CN2CCN([C@@H]3CS(=O)(=O)C[C@@H]3O)CC2)NC(=O)N[C@H]1C,-115.5076
CN1CCN(CC(=O)N2CCO[C@@]3(COCCN(C(=O)c4cccnn4)C3)C2)CC1,-122.1072
