Ligand SMILES,IC50 (nM)
CO[C@H]1[C@@H](O)[C@@H](O[C@@H]1[C@@H](O[C@H]1OC(=C[C@H](O)[C@@H]1O)C(=O)NCCc1ccc(Cl)cc1Cl)C(N)=O)n1ccc(=O)[nH]c1=O,30.1
CO[C@H]1[C@@H](O)[C@@H](O[C@@H]1[C@@H](O[C@H]1OC(=C[C@H](O)[C@@H]1O)C(=O)Nc1ccc(Cl)cc1)C(N)=O)n1ccc(=O)[nH]c1=O,31.6
CO[C@H]1[C@@H](O)[C@@H](O[C@@H]1[C@@H](O[C@H]1OC(=C[C@H](O)[C@@H]1O)C(=O)NCCc1cccc(OC)c1)C(N)=O)n1ccc(=O)[nH]c1=O,32.1
CO[C@H]1[C@@H](O)[C@@H](O[C@@H]1[C@@H](O[C@H]1OC(=C[C@H](O)[C@@H]1O)C(=O)Nc1ccc(Br)cc1)C(N)=O)n1ccc(=O)[nH]c1=O,32.6
CO[C@H]1[C@@H](O)[C@@H](O[C@@H]1[C@@H](O[C@H]1OC(=C[C@H](O)[C@@H]1O)C(=O)Nc1nccs1)C(N)=O)n1ccc(=O)[nH]c1=O,33.2
CO[C@H]1[C@@H](O)[C@@H](O[C@@H]1[C@@H](O[C@H]1OC(=C[C@H](O)[C@@H]1O)C(=O)NCCc1cccc(Cl)c1)C(N)=O)n1ccc(=O)[nH]c1=O,33.5
CO[C@H]1[C@@H](O)[C@@H](O[C@@H]1[C@@H](O[C@H]1OC(=C[C@H](O)[C@@H]1O)C(=O)NCCc1ccc(Cl)cc1)C(N)=O)n1ccc(=O)[nH]c1=O,33.5
CCc1ccc(NC(=O)C2=C[C@H](O)[C@H](O)[C@@H](O[C@H]([C@H]3O[C@H]([C@H](O)[C@@H]3OC)n3ccc(=O)[nH]c3=O)C(N)=O)O2)cc1,35.6
CO[C@H]1[C@@H](O)[C@@H](O[C@@H]1[C@@H](O[C@H]1OC(=C[C@H](O)[C@@H]1O)C(=O)Nc1ccccc1OCc1ccccc1)C(N)=O)n1ccc(=O)[nH]c1=O,35.9
CCCCC(=O)O[C@@H]1[C@H](OC)[C@H](O[C@H]1n1ccc(=O)[nH]c1=O)[C@@H](O[C@H]1OC(=C[C@H](O)[C@@H]1O)C(=O)N[C@H]1CCC[C@@H](C)NC1=O)C(N)=O,35.9
CO[C@H]1[C@@H](O)[C@@H](O[C@@H]1[C@@H](O[C@H]1OC(=C[C@H](O)[C@@H]1O)C(=O)NCCc1ccccc1)C(N)=O)n1ccc(=O)[nH]c1=O,37.3
CO[C@H]1[C@@H](O)[C@@H](O[C@@H]1[C@@H](O[C@H]1OC(=C[C@H](O)[C@@H]1O)C(=O)NCCc1ccc(F)cc1)C(N)=O)n1ccc(=O)[nH]c1=O,37.9
CO[C@H]1[C@@H](O)[C@@H](O[C@@H]1[C@@H](O[C@H]1OC(=C[C@H](O)[C@@H]1O)C(=O)NCCc1ccc(OC)c(OC)c1)C(N)=O)n1ccc(=O)[nH]c1=O,40.2
C[C@H](N)C(=O)N(C)[C@@H](C)[C@H](NC(=O)[C@H](C)NC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(O)=O)C(=O)N\C=C1/O[C@H]([C@H](O)[C@@H]1O)n1ccc(=O)[nH]c1=O,42.0
