,SMILES
232,CC(C)CNC(=O)C=1C=CC(=CC1Cl)NC(=O)CC2=CSC(=N2)NC(=O)C(C)C
233,COC=1C=CC(=CC1)NC(=O)CCN2CCC(CC2)NC(=O)C3CC3
234,COC=1C=CC(OC)=C(C1)CNCC=2C=CC(=NC2)N3CCCC3
235,Cl.CC1=NN(C)C(=C1CNC(C)C=2C=CC=3OCCOC3C2)N(C)C
236,N#CC=1C=CC=C(C1)CNCC=2C=CC=NC2N3CCCCC3
237,NS(=O)(=O)C=1C=CC(=CC1)S(=O)(=O)N2CCCC(C2)C(=O)NC3=CC=C(Cl)C=N3
238,CCC(C=1C=CC=CC1)N(CC(=O)OC)CC(=O)N2CC(C)OC(C)C2
239,N#CC=1C=CC=C(C1)C(=O)N2CC3OCCN(CC=4C=CC=CC4)C3C2
240,CSC=1C=CC(=CC1)NC(=O)CNC(=O)NCC2=CC=CO2
241,CN(C)C(=O)C1CCCN1C2=CC=NC=3C=CSC23
242,CC=1C=C(F)C=CC1N2C=C(O)C(=N2)C(=O)NCC=3C=CON3
243,CN(C)C1CCN(CC1)C(C)(C)CNC(=O)N(C)CC2CCC2
244,O=C1C=C(CN2CCCC2C3=CC=CC(F)=C3)OC=C1O
245,CCOC=1C=CC(=CC1S(=O)(=O)N2N=NC=3C=CC=CC32)C(C)(C)C
246,O=C(NC1=CC=C2NN=CC2=C1)C3CC(=O)N(C3)C4CCCCC4
247,CCOC1CC(NC(=O)NCC2=NOC(C)=N2)C31CCCCC3
248,N#CC=1C=CC=C(C1)NC(=O)C2(CCC2)C=3C=CC=CC3
249,CC(=O)NC=1C=CC(=CC1)C(=O)N(C2CC2)C(C)(C)C(=O)NC=3C=CC(F)=CC3
250,CC1=CC(CN2CCN(CC2)C(C)C(=O)NC=3C=CC=CC3C=4C=CC=CC4)=NO1
251,CC1=C(OC=2C=CC=CC12)C(=O)NC=3C=CC=NC3
252,COC=1C=CC=CC1NCC(=O)NC=2C=NC3=C(C2)C(C)=NN3C
253,O=C(NC=1C=NNC1)C2CCN(CC2)S(=O)(=O)C=3C=CC=4CCCC4C3
254,CC1=NC(=CS1)CNCC2CCCN2C=3C=CC=NN3
