,SMILES
134,O=C(NC=1C=CC(O)=CC1Cl)C2=CC3=C(CCCC3O)NC2=O
135,O=C(C=1C=CN(N1)C=2C=C(F)C=C(F)C2)N3CCCC=4C=CC=CC43
136,CN1N=C2C=C(Br)C=CC2=C1C(=O)N3CCN(C)C=4C=C(F)C=CC43
137,O=C(CC1=NNC=2C=CC=CC12)NC=3C=CC=C(C3)C(=O)N4CCC(O)CC4
138,O=C1C=CC=2C=CC=C(NS(=O)(=O)N3CCOCC3)C2N1
139,CC1=NN(C=C1S(=O)(=O)NC2CCC3CCNC2C3)C(C)C
140,CC1=NC(=CS1)C=2C=CC3=C(C2)CCN3C(=O)C=4N=C(C)N(C)N4
141,CN1C=C(C=N1)CC2CN(C2)C(=O)C=3C=NN(C3)C4=CC=CC(F)=C4
142,COC=1C=CC=C(C1)N2C=C(N=N2)NC(=O)C=3C=C(N=C4C3C(C)=NN4C)C=5C=CC=CC5
143,CCC=1C=CC=C2C=CC(=NC12)C(=O)NCC34CC(CCC3)C(=O)N4
144,O=C(NC=1NN=NC1C(=O)N2CCCC2)N3CC4(C3)CC=CC4
145,O=C(NCCC1CCOC=2C=CC=CC21)C=3C=CC=4C(=O)NCC4C3
146,CC1(C)CCCC(CC(=O)N2CC3CCC(=O)NC3C2)O1
147,COC(C)C=1C=CC=C(C1)NC(=O)C(=O)N2CCN(C[C@H]2C)C(C)=O
148,CN1C=CC=C(C(=O)N2CCC(CC2)OC=3C=CC(Cl)=CC3)C1=O
149,CC=1C=C(C(=O)N2CCCCC2C=3C=CC=C(O)C3)N4N=CN=C4N1
150,CC=1C=NC=C(C1)S(=O)(=O)N2CCCC(C2)C3=CNN=N3
151,COC1CN(C1)S(=O)(=O)N2CCCC2C=3C=C(F)C=CC3F
152,CC1=CC(=NO1)C2=NN=C(NC3CCC=4C=CC=CC4C3)O2
153,CN1C=C(CS(=O)(=O)CC(O)C=2C=CC=CC2)C(=N1)C(F)(F)F
154,CC1C=2C=CC=NC2CCN1C(=O)CC3=NNC(=O)C=4C=CC=CC34
155,O=C1C=C(C=2C=CC=CC2O1)N3CCC(CC3)C=4N=NNN4
156,CCOC(=O)C(NS(=O)(=O)C1=CN=CS1)C2CCCCO2
157,CC1=CN2C=C(C=CC2=N1)C(=O)N(C)C3CCC(F)(F)CC3
158,CC=1OC=CC1C(=O)N2CCOC3(CCS(=O)(CC3)=NC(=O)CC(C)C)C2
159,O=C(C1CC(=NO1)C=2C=CC=CN2)N3CCCC(C3)NC4=CC=CC(Br)=C4
160,CN1C(=O)NN=C1C2C(CCN2C=3N=CC=C(C#N)C3Cl)C4CC4
161,"CC1=C(CN[C@@H]2CC(CN3C=CN=C3)C[C@H]2O)N(C)C=4C=CC=CC14 |&1:5,15,r|"
162,"CCC1=NN=C(N1)[C@H]2COC[C@H]2NC=3C=CC(C#N)=NC3 |&1:7,11,r|"
163,"O=C1NC(=NC=C1Cl)N[C@@H]2CC(CN3C=C(Cl)C=N3)C[C@H]2O |&1:9,20,r|"
164,"O=C(N[C@@H]1CC(CN2C=CC=N2)C[C@H]1O)C=3C=NC(=NC3)C4CC4 |&1:3,13,r|"
165,"COCC=1C=NC(OC)=C(C1)C(=O)N[C@@H]2CC(CN3C=C(Cl)C=N3)C[C@H]2O |&1:14,25,r|"
166,"CC1=NN(C)C=2N=C(C=CC12)C(=O)N[C@@H]3CC(CN4C=C(Cl)C=N4)C[C@H]3O |&1:14,25,r|"
167,"O=C(N[C@@H]1CC(CN2C=CN=C2)C[C@H]1O)C=3OC=CC3C4CC4 |&1:3,13,r|"
168,"O=C(N[C@@H]1CC(CN2C=CN=C2C=3C=CC=CC3)C[C@H]1O)C=4C=NN(C4)C5CC5 |&1:3,19,r|"
169,C[C@@H]1COC[C@@](CO)(CNC(=O)C=2C(Cl)=CC=C3C=COC23)N1C
170,C[C@@H]1COC[C@@](CO)(CNC(=O)C=2C=CC=3N=CN(C)C(=O)C3C2)N1C
171,"C[C@@H]1CC=2C(=NNC2[C@H](C)O1)C(=O)NCC3(CC3)N4N=CC=N4 |&1:1,8,r|"
172,CC(NC(=O)C1(C)CC=2C=CC=CC2N1)C=3C=CC=4NC(=O)OC4C3
173,CCC(NC(=O)C=1C=CC(=CC1OC)CO)C2CC3=CC=CC=C3C2
174,O=C(C=1C=NC=C(F)C1)N2CC3(C2)CCN(C3)C(=O)C=4C=CC5=CC=CN=C5C4
175,CC(C)(NC(=O)C=1C=CN=C2NC=CC12)C=3C=CC(=CC3)C(F)(F)F
176,O=C(NCC1CCN(CC1)C=2N=CC(F)=CN2)[C@@H]3CCC(=O)N3
177,[Na+].CC=1N=C(OC1C)C=2C=CC=C(C2)NC(=O)CC(CC=3C=CC=CC3)C([O-])=O
178,FC=1C=CC(=CC1F)C2CCC(C2)N3C=C(N=N3)C4CCNCC4
179,CN1CC=2C=C(C=CC2OC1=O)S(=O)(=O)N3CC[C@H](C3)OC=4C=CC=CC4
180,COC1=CN=C2N=CN=C(C2=C1)N(CC(C)C)CC3CCN(C)CC3
181,COC=1N=CC(Br)=CC1S(=O)(=O)N2CCC(C2)OC=3C=CC=CN3
182,O=C(NCCNC=1C=CC=NN1)C=2C=CC=3NC=C(C3C2)C4CCNCC4
183,COC=1C=CC(=CC1)C2=NN=C(O2)N3CCC(C3)OCC4=CC=CN=C4
184,COC=1C=CC=C2OC(=CC(=O)C12)C(=O)N3CCCC(C3)C=4C=CC(F)=C(O)C4
185,O=C(NC=1C=NC=NC1N2C=CC=N2)C=3C=NN4C(=CC(=NC34)C5CC5)C(F)F
186,O=C(CC1CCCCC1)N2CCCC(CC2)NC(=O)C3=CN=CC=N3
187,CC1=NNC=2C=CC(=CC12)C3=CN4C(=C3)C(=O)NCC4C5CC5
188,NC(=O)CCNC(=O)C=1C=CC(=CC1)NC(=O)N2CCC(C2)N3C=NC=4C=CC=CC4C3=O
189,O=C(NC=1C=NC=2NN=CC2C1)C3CCN(CC3)C=4C=CC5=NN=CN5N4
190,COC(=O)C=1C=CC=2N=C(SC2C1)N3CCC(C3)C=4C=CC(=CC4)OC
191,COC=1C=C2CCN(CCC2=CC1OC)C(=O)CCCC=3C=CN=CC3
192,CCNS(=O)(=O)C=1C=CC(F)=C(C1)C(=O)N2CCN(CC3=CC=CC(Cl)=C3)C(=O)C2
193,COC=1C=CC=2NN=C(C(=O)NC(C)C=3C=CC=CC3N(C)C)C2C1
194,CSCCC(CO)NC(=O)C1=CC=C2CCCC(=O)NC2=C1
195,C=1C=CC2=C(C1)NC=3N=CN=C(C23)N4CCC(CC4)C=5N=CC=6CNCCC6N5
196,CCN1C=NN=C1CCNC2=CC(C)=NC3=C(C#N)C=NN23
197,"O=C(C1=CC=C(NC1=O)C=2C=CN=CC2)N3CC4(CCOCC4)[C@H]5CCC[C@H]53 |&1:23,27,r|"
198,CCCC=1NC=CC1C(=O)NC=2C=CC=3NC(=O)C(C)=CC3C2
199,CC1=NN2C(=CC(C)=NC2=C1Br)NCC=3C=CC=NC3OC(C)C
200,COC=1C=CC(=CC1)C=2NC=3C=CC=CC3C2CCC(=O)NCC4=CC(=O)N=C(N4)SC
201,NC(=O)C=1C=CC(=CC1)CN2C=NC=3C(=CC=CC3C2=O)C(F)(F)F
202,CC1=CC=C(S1)C2=CSC=3N=C(CC(=O)N(C)CC4=CC=CC=C4F)NC(=O)C23
203,CN1C=C(C=CC1=O)C(=O)NCCC2=NC(=NN2)C=3C=CC(Cl)=CC3
204,COC=1C(Cl)=CC=CC1C(=O)NCCC=2C=NN(N2)C=3C=CC=CC3
205,CNC=1N=CC=CC1C(=O)NCCC2=CNC3=C(F)C=C(Cl)C=C23
206,N#CC=1C=CC=2NC(=NC2C1)NC(=O)C3CCC3C(N)=O
207,CC1=CC(C)=C(C=C1S(=O)(=O)NC=2C=CN(CC(F)F)N2)C(=O)O
208,CC=1N=CC=C(N1)NC(=O)N2CCCC(C2)C3=NNC=C3NC(=O)C4CCCC4
209,CC=1C=C2C=CNC2=CC1NC(=O)N3CCC=4C=C(Cl)C=CC4C3
210,CCC1=NN(C)C=2NN=C(NC(=O)C=3C=NC=NC3C(C)C)C12
211,CNC(=O)C1CC=2C=CC=CC2N1C(=O)CC3=CNC=4C=CC=C(C)C34
212,CC(C=1C=CC(=CC1)N2CCCS2(=O)=O)N(C)C(=O)C3CCCO3
213,CC(C)NC(=O)C=1C=CC(Cl)=C(C1)NC(=O)C=2C=C3N=CC=CN3N2
214,O=C(O)C=1C=CC=2NC=3CCN(CC3C2C1)C(=O)C4=CC=5CCCCC5NC4=O
215,CC(=O)N1C=CC2=CC=CC=C2C1CC(=O)NCC(C)C(=O)O
216,N#CC=1C(=NNC1NS(=O)(=O)C=2C=CC=3NC(=O)C4=CC=CC2C43)C5CC5
217,O=C(O)CC1(CCOCC1)NC(=O)C=2C=NN3C=CC=NC23
218,CC1=NOC(CC(NC(=O)CC=2C=CC=C(C2)N3CCCC3=O)C=4C=CC=CC4)=N1
219,NC(=O)C1=CC=C(S1)C(=O)N2CC3(CCCC3)C4=CC=CC(Cl)=C42
220,CC1=CC=C(CNC(=O)C2=CC(=NO2)C=3C=CC=CC3)C(=O)N1C
221,CS(=O)(=O)C=1C=CC=CC1N2CCCC2C=3C=CC=CN3
222,COCCC(=O)N1CCC(CC1)NC(=O)N2CCN(CC2)C=3C=CC=CC3
223,N#CC=1C=CC=C(C1)CC(=O)NCCNC=2C=CC3=CC=CC=C3N2
224,CN1CCN(CC1)C(=O)CC2CCN(CC2)C(=O)C=3C=CC(F)=C(Cl)C3
225,CC(=O)NC=1C=C(C=CC1C)C(=O)NC2CCCC(F)(F)C2
226,COC=1C=CC=C(C1)C=2C=CC(=CC2)CNC(=O)C=3C=CN=CN3
227,CC(C)C1CN(C(=O)C2=CC=C(C#N)S2)C3=CC=CC=C3N1
228,CC(=O)N1CCCC(C1)C2=NC(=CS2)C=3C=CC=C(C3)N4CCCC4=O
229,O=C1NC=2C=CC=CC2C31CCN(C3)C4=NC=CN5C=NN=C45
230,COCC=1C=CC=C(C1)CC(=O)N2CCC(CC2)C=3N=CC=C(C)N3
231,CN1CCC(CC1)N2C=CC(=N2)NC(=O)C3=CC(=O)N(C)C=4C=CC=CC34
232,O=C(NCCC=1C=CC=CC1OC(F)F)N2CCOCC(C2)C3CCC3
233,CNC(=O)[C@@H](NC(=O)C1CCCN(C1)S(=O)(=O)C=2C=CC=3C=CC=CC3C2)C(C)C
234,CC(C)(C)N1C=C(C#N)C(=N1)NS(=O)(=O)C=2C=CC=3OCCC3C2
235,CC1CC(C=2C=CC=C(F)C2)N(C1)C(=O)NC3=CN=NS3
236,O=C(NCC=1C=CC(=CC1)C2CCC2)N3CCN(CC3)C(=O)C4=CC=CO4
237,CCNC1=NC(=CS1)C(=O)N2CCN(CC3=NC=CN3C(F)F)CC2
238,CC(C1=CC=2C=CC=CC2O1)N(C)C(=O)C3=CN(C)N=C3C(C)(C)C
239,N#CC=1C=CC=NC1N2CCN(CC2)C(=O)NC3CCCC(F)(F)C3
