num_molecules,num_reactions,num_unique_building_blocks,last_reaction_id,num_building_blocks_last_rxn,MolWt,MolLogP,NumHDonors,NumHAcceptors,TPSA,NumRotatableBonds,FractionCSP3,HeavyAtomCount,Property Score
1,0,1,-1,-1,242.032,1.19,1,4,67.49,1,0.0,13,-106.45452117919922
1,0,1,-1,-1,151.165,1.177,2,3,63.32000000000001,1,0.125,11,-94.58448028564452
2,0,2,-1,-1,178.15099999999998,1.5901,1,3,98.95,3,0.14285714285714285,13,-97.77692413330078
2,0,2,-1,-1,178.15099999999998,1.5901,1,3,98.95,3,0.14285714285714285,13,-100.72053527832031
2,0,2,-1,-1,178.15099999999998,1.5901,1,3,98.95,3,0.14285714285714285,13,-108.86865615844727
2,0,2,-1,-1,178.15099999999998,1.5901,1,3,98.95,3,0.14285714285714285,13,-109.17713928222656
2,0,2,-1,-1,178.15099999999998,1.5901,1,3,98.95,3,0.14285714285714285,13,-101.11251068115234
2,0,2,-1,-1,178.15099999999998,1.5901,1,3,98.95,3,0.14285714285714285,13,-103.42029571533203
2,0,2,-1,-1,178.15099999999998,1.5901,1,3,98.95,3,0.14285714285714285,13,-110.16011810302734
2,0,2,-1,-1,178.15099999999998,1.5901,1,3,98.95,3,0.14285714285714285,13,-109.71017074584961
2,0,2,-1,-1,178.15099999999998,1.5901,1,3,98.95,3,0.14285714285714285,13,-110.49784469604492
2,0,2,-1,-1,178.15099999999998,1.5901,1,3,98.95,3,0.14285714285714285,13,-104.40110397338867
2,0,2,-1,-1,178.15099999999998,1.5901,1,3,98.95,3,0.14285714285714285,13,-111.80913543701172
2,0,2,-1,-1,178.15099999999998,1.5901,1,3,98.95,3,0.14285714285714285,13,-99.27872085571289
2,0,2,-1,-1,178.15099999999998,1.5901,1,3,98.95,3,0.14285714285714285,13,-98.5918197631836
2,0,2,-1,-1,178.15099999999998,1.5901,1,3,98.95,3,0.14285714285714285,13,-107.2323226928711
2,0,2,-1,-1,178.15099999999998,1.5901,1,3,98.95,3,0.14285714285714285,13,-105.14436340332031
2,0,2,-1,-1,178.15099999999998,1.5901,1,3,98.95,3,0.14285714285714285,13,-107.86137390136719
2,0,2,-1,-1,178.15099999999998,1.5901,1,3,98.95,3,0.14285714285714285,13,-104.84539413452148
2,0,2,-1,-1,178.15099999999998,1.5901,1,3,98.95,3,0.14285714285714285,13,-109.9416275024414
2,0,2,-1,-1,178.15099999999998,1.5901,1,3,98.95,3,0.14285714285714285,13,-104.477783203125
2,0,2,-1,-1,178.15099999999998,1.5901,1,3,98.95,3,0.14285714285714285,13,-112.90166091918945
1,1,2,22,2,364.37300000000005,1.7094999999999996,2,8,146.38,8,0.1875,27,-144.7403564453125
1,1,2,22,2,364.373,1.4730999999999999,1,8,151.57999999999998,7,0.1875,27,-142.2108612060547
