SMILES,TotalEnergy
C#CCN=c1nc(N2CCN3C(=O)NC[C@H]3C2)[nH]c(N2CCN3C(=O)NC[C@@H]3C2)n1,-127.9745
C#CCN=c1nc(N2CCO[C@@H](C(=O)NC)C2)[nH]c(N2CCO[C@@H](C(=O)NC)C2)n1,-121.4731
C#CCNC(=O)C1CCC(=O)N(CCCC)C1C2=CC=CC=C2OC,-122.7621
C#CCNC(=O)C=1C=CC(OCC=C)=C(C1)OC,-95.032
C#CCNC(=O)CCNC(=O)C1(CC1)C=2C=CC(F)=CC2,-119.4693
C#CCNC(=O)CN1C(=O)C2C3C=CC(C3)C2C1=O,-100.7459
C#CCNC(=O)CN1CCCN(C(=O)CCc2nc3c(O)nc(=O)n(C)c3[nH]2)CC1,-118.4004
C#CCNC(=O)CN1CCCN(C(=O)CN(C)S(=O)(=O)c2cccnc2)CC1,-109.3141
C#CCNC(=O)CN1CCCN(C(=O)CNC(=O)CNC(=O)OC(C)(C)C)CC1,-113.8443
C#CCNC(=O)CN1CCCN(C(=O)CNS(=O)(=O)CCOC(C)C)CC1,-117.4498
C#CCNC(=O)CN1CCCN(C(=O)[C@@H]2CC(=O)N(CCN3CCOCC3)C2)CC1,-107.8849
C#CCNC(=O)CN1CCCN(C(=O)[C@@H]2CC(=O)N([C@@H]3CCS(=O)(=O)C3)C2)CC1,-103.0737
C#CCNC(=O)CN1CCCN(S(=O)(=O)N2CCC3(CC2)OCCO3)CC1,-96.094
C#CCNC(=O)CN1CCCN(S(=O)(=O)c2ccc(S(C)(=O)=O)nc2)CC1,-109.8687
C#CCNC(=O)CN1CCCN(S(=O)(=O)c2cccc(S(N)(=O)=O)c2)CC1,-105.3319
C#CCNC(=O)CN1CCN(C(=O)C(=O)Nc2ccc(S(N)(=O)=O)cc2)CC1,-127.9411
C#CCNC(=O)CN1CCN(C(=O)C/N=C2/NS(=O)(=O)c3ccccc32)CC1,-109.1376
C#CCNC(=O)CN1CCN(C(=O)C2=NN([C@H]3CCS(=O)(=O)C3)C(=O)CC2)CC1,-113.004
C#CCNC(=O)CN1CCN(C(=O)C2CCN(c3ccc4nnnn4n3)CC2)CC1,-121.6302
C#CCNC(=O)CN1CCN(C(=O)CCN2C(=O)[C@H]3[C@H](C2=O)[C@H]2CC[C@H]3O2)CC1,-123.1834
